name,id,artists,genres,explicit,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
YOU CAN'T HOLD MY HEART,6nxOW44RKSH3OBw6ZP8yuZ,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2020-02-13,61,0.81,0.574,0,-5.038,1,0.0326,0.102,5.41e-06,0.08,0.422,134.001,181112
Break all the Rules,3zhb2FclGaz3NKovP79Kwk,['CRAVITY'],{'k-pop'},False,2020-04-14,59,0.618,0.86,2,-3.545,0,0.0643,0.0394,0.0,0.132,0.528,78.028,208575
Dumhdurum,55kuHkT2CWhWKF6CoRDnJq,['Apink'],"{'k-pop girl group', 'k-pop'}",False,2020-04-13,67,0.653,0.923,8,-2.163,0,0.0621,0.145,0.0,0.137,0.692,114.902,208053
Wish on the same sky,1bGyEXjNXcsFMXjYw8oi3z,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2020-03-31,48,0.531,0.859,0,-4.364,0,0.0494,0.0535,0.0,0.0606,0.503,159.949,226160
A Song Written Easily,5KqOPtE8nhYtgcXzrIt6N0,['ONEUS'],"{'k-pop boy group', 'k-pop'}",False,2020-03-24,64,0.696,0.843,1,-2.397,0,0.0588,0.147,0.0,0.103,0.678,98.01,213293
舞い落ちる花びら(Fallin' Flower),6MC0anRfGPzSWrvybgsY7O,['SEVENTEEN'],"{'k-pop boy group', 'k-pop'}",False,2020-03-31,64,0.641,0.85,9,-4.76,0,0.229,0.348,0.0,0.227,0.674,141.877,212333
COLOR EYE,2VsjGK8eJPCthu3IANWwOH,"['PARK WOO JIN', 'AB6IX']","{'k-pop boy group', 'k-pop'}",False,2020-02-13,44,0.742,0.852,7,-4.344,1,0.0345,0.0477,0.0,0.128,0.479,132.014,192515
風 (Levanter) -Japanese ver.- - Japanese version,4fgHND4GajFKnCFrcKdwdy,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2020-03-13,34,0.557,0.696,9,-4.864,1,0.0558,0.00396,0.0,0.52,0.375,149.98,197440
Black Swan,24NuEDgyRIljwSyY0lsr7b,['BTS'],"{'k-pop boy group', 'k-pop'}",False,2020-01-17,76,0.719,0.758,2,-5.167,0,0.0851,0.137,0.0,0.129,0.49,147.023,198261
Kick It,1ayaOin9hxCtyhg4UsBTpg,['NCT 127'],"{'k-pop boy group', 'k-pop'}",False,2020-03-06,70,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.0,0.0808,0.507,167.031,233013
Sunrise Yellow,33btFaiaOuvdga41RP6AJw,['FTISLAND'],"{'korean pop', 'k-pop boy group', 'k-rock', 'k-pop'}",False,2020-03-02,29,0.54,0.865,7,-3.669,1,0.031,0.00271,0.0,0.0788,0.564,130.013,188571
Everybody Has,7AKAZxuCnOqkNFVsDxVzYn,['CHUNG HA'],{'k-pop'},False,2020-02-29,52,0.483,0.796,2,-4.953,1,0.0871,0.627,6.98e-06,0.33,0.609,73.956,222454
Good Guy - Japanese ver.,2xyYcrh0n5r8Rp8h6lhQwP,['SF9'],"{'k-pop boy group', 'k-pop'}",False,2020-02-28,31,0.724,0.78,8,-3.596,1,0.0888,0.0853,0.0,0.0437,0.6,123.952,194051
ICE AGE,1q2bu7PaEUUiFJYFsAiHiz,['MCND'],{'k-pop'},False,2020-02-27,62,0.715,0.92,1,-2.82,1,0.0975,0.0265,0.0,0.211,0.736,142.897,190773
A.I TROOPER,17xH4o0sD57vWuX58WYPSJ,['AleXa'],{'k-pop'},False,2020-04-01,41,0.729,0.768,7,-4.736,1,0.0505,0.00165,0.0777,0.203,0.326,124.985,122213
DAZZLE DAZZLE,3cGOBTvkKS4aCsWRR2VPke,['Weki Meki'],"{'k-pop girl group', 'k-pop'}",False,2020-02-20,56,0.84,0.877,0,-1.842,1,0.191,0.19,0.0,0.748,0.581,118.029,189427
MORE,5jQqFhmNdiRp57Y8UNkMsZ,"['KIM DONG HYUN', 'AB6IX']","{'k-pop boy group', 'k-pop'}",False,2020-02-13,41,0.559,0.668,7,-5.687,1,0.0865,0.107,0.0,0.248,0.541,119.698,208153
FIESTA,71vPAjlG1x606483GTJNhY,['IZ*ONE'],"{'k-pop girl group', 'k-pop'}",False,2020-02-17,70,0.758,0.927,7,-2.105,1,0.0537,0.062,0.0,0.343,0.738,122.999,217760
MOONDANCE,3hGQn8GEEjsJD558f6qAtd,"['JEON WOONG', 'AB6IX']","{'k-pop boy group', 'k-pop'}",False,2020-02-13,49,0.603,0.757,7,-3.962,1,0.052,0.151,0.0,0.313,0.32,126.988,224166
RED MOON,7huWBxXBSizb0tftJRbJed,['KARD'],{'k-pop'},False,2020-02-12,66,0.724,0.925,9,-1.393,1,0.0615,0.0202,0.0,0.202,0.33,100.028,172147
Dr. BeBe,2z0LVG9G2SpFaT5bHyWwjK,['PENTAGON'],"{'k-pop boy group', 'k-pop'}",False,2020-02-12,59,0.574,0.881,7,-1.632,0,0.069,0.0106,0.0,0.36,0.576,142.079,191933
REVEAL,14tNUeer5gUbUYvhYYTclS,['THE BOYZ'],"{'k-pop boy group', 'k-pop'}",False,2020-02-10,63,0.624,0.952,9,-1.38,0,0.108,0.0822,0.0,0.132,0.569,95.043,202453
Gotta Go,0xq4ZTcmwBfkPGo4RRKmMe,['CHUNG HA'],{'k-pop'},False,2019-01-02,69,0.53,0.829,3,-2.526,0,0.0445,0.0741,0.0,0.0993,0.423,101.85,221813
HIP -Japanese ver.-,130EFnPhVklMpsIljz32Ts,['MAMAMOO'],"{'k-pop girl group', 'k-pop'}",False,2020-02-05,47,0.766,0.743,3,-4.686,0,0.191,0.0778,1.85e-06,0.0982,0.846,138.018,195307
Nun Nu Nan Na,7ladzyHoK60op9Zq7wy9UN,['cignature'],{'k-pop'},False,2020-02-04,51,0.665,0.922,6,-1.327,0,0.165,0.256,0.0,0.0684,0.882,164.106,208040
DUN DUN,3CyCjgTHFzqucmECajq8QA,['EVERGLOW'],"{'k-pop girl group', 'k-pop'}",False,2020-02-03,75,0.692,0.881,11,-2.563,0,0.0461,0.0457,4.26e-06,0.146,0.433,103.055,192280
Red Sun,5lwWpQ71GKN3sWmk8zZr9g,['DREAMCATCHER'],"{'k-pop girl group', 'k-pop'}",False,2020-02-18,57,0.701,0.92,0,-2.742,0,0.157,0.351,0.0,0.149,0.567,79.454,185093
Answer - Japanese Ver.,5ougFytIDmWvOxVweXc4ah,['ATEEZ'],"{'k-pop boy group', 'k-pop'}",False,2020-02-12,41,0.532,0.901,7,-2.48,1,0.0514,0.0907,0.0,0.341,0.516,97.924,219760
2YA2YAO!,7iQTGSIl9m4jofHBGby9kZ,['SUPER JUNIOR'],"{'k-pop boy group', 'k-pop'}",False,2020-01-28,59,0.789,0.884,7,-2.659,1,0.148,0.0941,0.0,0.0569,0.607,100.09,200826
I'm so Pretty - Japanese Ver.,7gcHGs5KvevRtl4ol93sA4,['NATURE'],"{'k-pop girl group', 'k-pop'}",False,2020-01-24,15,0.653,0.95,7,-3.03,1,0.0995,0.0206,0.000737,0.31,0.923,159.996,211600
I Think I - Japanese Version,6zYxvIPea63uMeC88rb5YZ,['SUPER JUNIOR'],"{'k-pop boy group', 'k-pop'}",False,2020-01-29,27,0.735,0.738,6,-5.325,1,0.0467,0.336,0.0,0.14,0.902,145.091,202670
I’m in Sinchon,7LbHSZCOUI74b25hzlfcrJ,['Gavy N.J'],{'k-pop'},False,2020-01-22,19,0.435,0.554,7,-3.802,1,0.0332,0.619,0.0,0.112,0.208,128.939,240787
Loveship,6Hqk3UKf4uIrdbkJvwM7y3,"['Paul Kim', 'CHUNG HA']","{'korean pop', 'k-pop'}",False,2020-01-21,52,0.384,0.384,10,-7.001,1,0.0312,0.881,0.0,0.0947,0.0759,129.12,259867
Black Swan,24NuEDgyRIljwSyY0lsr7b,['BTS'],"{'k-pop boy group', 'k-pop'}",False,2020-01-17,76,0.719,0.758,2,-5.167,0,0.0851,0.137,0.0,0.129,0.49,147.023,198261
9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,4suDPyEfKYtqDR2OGblbTi,['TOMORROW X TOGETHER'],{'k-pop'},False,2020-01-14,52,0.63,0.787,1,-4.302,1,0.103,0.00489,0.0,0.134,0.466,128.997,211867
Any song,1iIhGHzzrzqQfuNkFI2qAn,['ZICO'],"{'korean pop', 'korean r&b', 'k-pop'}",False,2020-01-13,75,0.874,0.787,10,-2.416,0,0.129,0.118,0.0,0.11,0.896,108.007,227227
Lay Back,3eVaOnvfX0Ufu1rkwbC0WS,['VERIVERY'],"{'k-pop boy group', 'k-pop'}",False,2020-01-07,56,0.678,0.899,1,-3.436,0,0.277,0.125,0.0,0.073,0.764,110.07,196213
Remember Forever,2m9K7KlDOQ0NXk9xBpkuoZ,['Red Velvet'],"{'k-pop girl group', 'k-pop'}",False,2019-12-23,55,0.576,0.619,3,-3.324,1,0.0419,0.57,0.0,0.0916,0.524,149.896,187720
TOP GANG,7JDBOOf49nKbwNopK8Bbv0,['MCND'],{'k-pop'},False,2020-01-02,52,0.803,0.924,0,-2.925,1,0.257,0.087,0.0,0.182,0.748,139.963,181160
Thumbs Up,2X1zCTkwxQRMkloiVlQ55e,['MOMOLAND'],"{'k-pop girl group', 'k-pop'}",False,2019-12-30,60,0.744,0.988,10,-1.388,0,0.0654,0.0889,7.94e-06,0.273,0.885,130.022,198200
Take A Hike,0grQK3W2AsUih8AbMWArtO,['Ji Yeon'],{'k-pop'},False,2019-12-26,48,0.654,0.801,10,-3.528,0,0.0438,0.0151,1.94e-06,0.122,0.695,159.111,180413
