Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,3/30/2020,TOO,Magnolia,매그놀리아,,Youtube,Boy,Major
,3/30/2020,MONSTA X,Wish on the same sky,,,Youtube,Boy,Japanese
,3/30/2020,SUHO (EXO),Let's Love,"사랑, 하자",,Youtube,Boy Solo,Major
,3/26/2020,WINNER,Hold,뜸,Sushivisual,Youtube,Boy,Major
,3/24/2020,Kang Daniel,2U,,,Youtube,Boy Solo,Major
,3/24/2020,Oneus,A Song Written Easily,쉽게 쓰여진 노래,ZANYBROS,Youtube,Boy,Major
,3/23/2020,Seventeen,Fallin' Flower,舞い落ちる花びら,,Youtube,Boy,Japanese
,3/22/2020,Kisum,Primero,1위,,Youtube,Girl Solo,Minor
,3/21/2020,PURPLEBECK,VALENTi,,,Youtube,Girl,Major
,3/20/2020,Daydream,Num Num,,,Youtube,Girl,Major
,3/17/2020,Sejeong (gugudan),Plant,,,Youtube,Girl Solo,Major
,3/15/2020,Hong Eunki,Breath,숨,,Youtube,Boy Solo,Major
,3/13/2020,Eyedi,J.us.t,,,Youtube,Girl Solo,Major
,3/12/2020,AB6IX,Color Eye (Park Woojin),,,Youtube,Boy,Special
,3/11/2020,DONGKIZ,Lupin,,,Youtube,Boy,Major
,3/11/2020,Dreamcatcher,Sahara,,,Youtube,Girl,Special
Post,3/10/2020,Favorite,Lie,또 LIE,,Youtube,Girl,Major
,3/9/2020,Stray Kids,Levanter -Japanese ver.-,,,Youtube,Boy,Japanese
Post,3/9/2020,ITZY,Wannabe,,Naive,Youtube,Girl,Major
,3/8/2020,VICTON,Howling,,,Youtube,Boy,Major
,3/5/2020,BTS,Black Swan,,,Youtube,Boy,Minor
,3/5/2020,NCT 127,Kick It,영웅,Kim 'Oui Kim' Seonguk,Youtube,Boy,Major
,3/4/2020,VIINI,"Love The Moon feat. Suhyun, BLOO",달을 사랑해,,Youtube,Boy Solo,Major
,3/4/2020,Dreamcatcher,Endless Night,,,Youtube,Girl,Japanese
,3/3/2020,CRAXY,Aria,,,Youtube,Girl,Major
,3/1/2020,FTISLAND,Sunrise Yellow,,,Youtube,Boy,Japanese
,2/29/2020,Chungha,Everybody Has,솔직히 지친다,,Youtube,Girl,Special
,2/28/2020,BTS,ON,온,,Youtube,Boy,Major
,2/28/2020,Lim Kim,Mong,,,Youtube,Girl Solo,Major
,2/27/2020,SF9,Good Guy -Japanese ver.-,,,Youtube,Boy,Japanese
,2/27/2020,MCND,Ice Age,,,Youtube,Boy,Major
,2/26/2020,ELRIS,Jackpot,,August Frogs,Youtube,Girl,Major
,2/24/2020,AleXa,A.I Trooper,,,Youtube,Girl Solo,Minor
,2/24/2020,Ravi,ROCKSTAR (Feat. Paloalto),,,Youtube,Boy Solo,Major
,2/23/2020,Spectrum,Showtime,,,Youtube,Boy,Major
,2/22/2020,UNVS,Timeless,,,Youtube,Boy,Major
Post,2/21/2020,BTS,ON (Kinetic Manifesto Film : Come Prima),온,Lumpens,Youtube,Boy,Major
,2/21/2020,ELRIS,This is me (Dance Ver.),,,Youtube,Girl,Minor
,2/21/2020,Moon,Woo,,,Youtube,Girl Solo,Major
,2/21/2020,3YE,Queen,퀸,,Youtube,Girl,Major
Post,2/20/2020,Weki Meki,Dazzle Dazzle,대즐대즐,,Youtube,Girl,Major
,2/20/2020,AB6IX,More (Kim Donghyun),더 더,,Youtube,Boy,Special
,2/18/2020,Dreamcatcher,Scream,,,Youtube,Girl,Major
,2/18/2020,HighSchool,Timing,타이밍,,Youtube,Girl,Major
Post,2/17/2020,IZ*One,Fiesta,,Rigend Film,Youtube,Girl,Major
