Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,4/8/2016,J.Y. Park,Still Alive,살아있네,Naive,Youtube,Boy Solo,Major
Post,4/8/2016,NCT U,The 7th Sense,일곱 번째 감각,VM Project,Youtube,Boy,Major
,4/5/2016,LABOUM,Journey to Atlantis,상상더하기,ZANYBROS,Youtube,Girl,Major
,4/3/2016,CNBLUE,You're So Fine,이렇게 예뻤나,,Youtube,Boy,Major
,4/3/2016,Mamamoo,Woo Hoo,기대해도 좋은 날,,Youtube,Girl,OST
,3/29/2016,DAY6,Letting Go,놓아 놓아 놓아,VM Project,Youtube,Boy,Major
,3/29/2016,Boys Republic,Get Down,겟 다운,,Youtube,Boy,Major
,3/29/2016,N-Sonic,Excalibur,엑스칼리버,,Youtube,Boy,Major
,3/28/2016,Block B,A Few Years Later,몇 년 후에,Tiger Cave,Youtube,Boy,Minor
Post,3/27/2016,Oh My Girl,LIAR LIAR,라이어 라이어,Digipedi,Youtube,Girl,Major
,3/27/2016,BtoB,Remember That,봄날의 기억,,Youtube,Boy,Major
,3/27/2016,Jun Hyoseong,Find Me,나를 찾아줘,ZANYBROS,Youtube,Girl Solo,Major
,3/27/2016,Girls Girls,Girls Girls,여자여자,,Youtube,Girl,Major
,3/24/2016,Lip Service,Hello,이슬만먹고살아,,Youtube,Girl,Major
,3/24/2016,M.A.S 0094,Feeling Good,,,Youtube,Boy,Major
,3/23/2016,A.cian,Touch,손이가요,,Youtube,Boy,Major
,3/20/2016,GOT7,Fly,플라이,Naive,Youtube,Boy,Major
,3/18/2016,FTISLAND,You Don't Know Who I Am,,,Youtube,Boy,Japanese
,3/16/2016,Red Velvet,One of These Nights,7월 7일,Shin Heewon,Youtube,Girl,Major
,3/14/2016,Daybreak,Mellow,,,Youtube,Boy,Major
,3/14/2016,Holics,U Lie,,,Youtube,Girl,Minor
,3/14/2016,Holics,Our Story,우리들 이야기,,Youtube,Girl,Minor
,3/9/2016,WJSN,Catch Me,캐치미,ZANYBROS,Youtube,Girl,Minor
,3/8/2016,JJCC,Today,오늘 한번,,Youtube,Boy,Major
,3/8/2016,Fiestar,Mirror,미러,,Youtube,Girl,Major
,3/8/2016,Miss S,Don't Speak Without Soul,영혼없이 말하지마,,Youtube,Girl,Major
,3/7/2016,Snuper,Platonic Love,지켜줄게,LIKETHAT,Youtube,Boy,Major
,3/4/2016,B.A.P,Kingdom,킹덤,,Youtube,Boy,Japanese
,3/2/2016,KNK,Knock,노크,Tiger Cave,Youtube,Boy,Major
,3/1/2016,Voisper,In Your Voice,그대 목소리로 말해줘,,Youtube,Boy,Major
,2/29/2016,CLC,High Heels,페페,ZANYBROS,Youtube,Girl,Major
,2/28/2016,Mamamoo,My Recipe,나만의레시피,,Youtube,Girl,Minor
,2/25/2016,ASTRO,Cat's Eye,장화 신은 고양이,,Youtube,Boy,Minor
,2/25/2016,Bloomy,Because Of You,너 때문이야,,Youtube,Girl,
Post,2/25/2016,Mamamoo,You're The Best,넌 is 뭔들,,Youtube,Girl,Major
,2/24/2016,Apink,Brand New Days,,,Youtube,Girl,Japanese
Post,2/24/2016,WJSN,Mo Mo Mo,모모모,ZANYBROS,Youtube,Girl,Major
,2/23/2016,Ladies' Code,Galaxy,갤럭시,,Youtube,Girl,Major
,2/23/2016,Teen Top,Don't Drink,술 마시지마,,Youtube,Boy,Minor
,2/22/2016,ASTRO,Hide & Seek,숨바꼭질,,Youtube,Boy,Major
,2/22/2016,4Ten,Severely,지독하게,,Youtube,Girl,Major
,2/22/2016,Taemin,Press Your Number,프레스 유어넘버,VM Project,Youtube,Boy Solo,Major
,2/21/2016,B.A.P,Feel So Good,필소굿,ZANYBROS,Youtube,Boy,Major
,2/21/2016,Taemin,Drip Drop,드립드랍,VM Project,Youtube,Boy Solo,Minor
,2/17/2016,Wable,I Want To Fall In Love,연애하고 싶다,,Youtube,Girl,Major
,2/16/2016,NU'EST,Overcome,여왕의 기사,SUNNY VISUAL,Youtube,Boy,Major
,2/15/2016,Double S 301,Sorry I'm Busy,바빠서 미안해,,Youtube,Boy,Minor
,2/15/2016,Double S 301,Pain,,,Youtube,Boy,Major
,2/15/2016,Brave Girls,Deepened,변했어,,Youtube,Girl,Major
,2/14/2016,Rainbow,Whoo,우,,Youtube,Girl,Major
,2/14/2016,BtoB,Dear Bride,,,Youtube,Boy,Japanese
,2/11/2016,AOA CREAM,I'm Jelly Baby,질투 나요 BABY,,Youtube,Girl,Major
Post,2/11/2016,Mamamoo,Taller Than You,1cm의 자존심,Kim Beomchul,Youtube,Girl,Minor
,2/9/2016,N.Flying,Knock Knock,노크노크,,Youtube,Boy,Japanese
,2/7/2016,The Legend,This,이렇게,,Youtube,Boy,Major
,2/4/2016,Mamamoo,My Hometown,고향이,,Youtube,Girl,Minor
,2/3/2016,Taeyeon,Rain,레인,,Youtube,Girl Solo,Minor
,1/31/2016,4Minute,Hate,싫어,ZANYBROS,Youtube,Girl,Major
,1/31/2016,WINNER,Baby Baby,베이비 베이비,FantazyLab,Youtube,Boy,Major
,1/31/2016,WINNER,Sentimental,센치해,Digipedi,Youtube,Boy,Major
,1/31/2016,WINNER,I'm Young,좋더라,,Youtube,Boy,Major
,1/28/2016,M.C The Max,No matter where,어디에도,,Youtube,Boy,Major
,1/26/2016,IMFACT,Lollipop,롤리팝,,Youtube,Boy,Major
,1/26/2016,SUS4,Pick Me Up,,,Youtube,Girl,Major
,1/25/2016,A.SOME,Temptress,템트리스,,Youtube,Girl,Major
,1/24/2016,GFRIEND,Rough,시간을 달려서,ZANYBROS,Youtube,Girl,Major
,1/24/2016,Mr.Mr,Just 1 Light,,,Youtube,Boy,Japanese
,1/21/2016,CNBLUE,Feel Good,필굿,,Youtube,Boy,CF
,1/21/2016,Bubble X,Monologue,혼잣말,,Youtube,Girl,Minor
,1/21/2016,Bubble X,Hit It,히릿,,Youtube,Girl,Minor
,1/20/2016,The Legend,Crush On You,반했다,,Youtube,Boy,Major
,1/20/2016,CROSS GENE,"Noona, You",누나 너 말야,,Youtube,Boy,Major
,1/18/2016,KARA,French kiss,フレンチキス,,Youtube,Girl,Japanese
,1/18/2016,VIXX,Depend On Me,,,Youtube,Boy,Japanese
,1/17/2016,Stellar,Sting,찔려,Digipedi,Youtube,Girl,Major
,1/17/2016,Teen Top,Warning Sign,사각지대,,Youtube,Boy,Major
,1/14/2016,V.O.S,The Only One For Me,그 사람이 너니까,,Youtube,Boy,Major
,1/13/2016,Baechigi,Walkak,왈칵,,Youtube,Boy,Major
,1/7/2016,Lucky J,No Love,노 러브,,Youtube,Co-ed,Major
,1/7/2016,AshGray,Push & Pull,밀당,,Youtube,Boy,Major
,1/6/2016,Flashe,Lip Bomb,립밤,,Youtube,Girl,Major
,1/4/2016,Dal Shabet,Someone Like U,너 같은,,Youtube,Girl,Major
,1/4/2016,CoCoSoRi,Dark Circle,다크서클,,Youtube,Girl,Major
,12/23/2015,iKON,What's Wrong?,왜 또,Sa Minhan,Youtube,Boy,Major
,12/23/2015,iKON,Dumb & Dumber,덤앤더머,,Youtube,Boy,Major
,12/20/2015,APRIL,Snowman,스노우맨,ZANYBROS,Youtube,Girl,Major
,12/17/2015,Dickpunks,Show Me,니가 보여,,Youtube,Boy,Major
,12/16/2015,HISTORY,Lost,,,Youtube,Boy,Japanese
,12/13/2015,SHINee,DxDxD,,,Youtube,Boy,Japanese
,12/9/2015,EXO,Sing For You,싱포유,,Youtube,Boy,Minor
,12/8/2015,g.o.d,A Funny But Sad Day,웃픈 하루,,Youtube,Boy,Major
,12/8/2015,Brown Eyed Soul,Home,,,Youtube,Boy,Major
,12/7/2015,Dynamic Duo,Oksang,옥상에서,,Youtube,Boy,Minor
,12/6/2015,Lovelyz,For You,그대에게,Digipedi,Youtube,Girl,Major
,12/3/2015,Girls' Generation-TTS,Dear Santa,,,Youtube,Girl,Major
,12/3/2015,Girls' Generation-TTS,Dear Santa (English ver.),,,Youtube,Girl,English
,12/3/2015,SEVENTEEN,Q&A (with Ailee),,Digipedi,Youtube,Boy,Minor
,12/2/2015,Nell,Lost in perspective,3인칭의 필요성,,Youtube,Boy,Major
,12/1/2015,LABOUM,AALOW AALOW,아로아로,,Youtube,Girl,Major
,11/29/2015,BTS,Run,런,Lumpens,Youtube,Boy,Major
,11/26/2015,UP10TION,Catch Me,여기여기 붙어라,,Youtube,Boy,Major
,11/26/2015,Noel,In the End,이별밖에,,Youtube,Boy,Major
,11/25/2015,I.C.E,Over U,,,Youtube,Girl,Major
,11/25/2015,K-Much,Tie My Hands,,,Youtube,Boy,Major
,11/24/2015,Road Boyz,Show Me Bang Bang,쇼 미 뱅 뱅,,Youtube,Boy,Major
,11/24/2015,APRIL,Muah!,무아!,ZANYBROS,Youtube,Girl,Major
,11/23/2015,9MUSES,Sleepless Night,잠은 안오고 배는 고프고,ZANYBROS,Youtube,Girl,Major
,11/23/2015,5tion,Lie,라이,,Youtube,Boy,Minor
,11/22/2015,GOT7,Confession Song,고백송,Naive,Youtube,Boy,Minor
,11/20/2015,Dynamic Duo,Dodoripyo,도돌이표,,Youtube,Boy,Minor
,11/20/2015,BIGFLO,"1,2,3,4",,,Youtube,Boy,Japanese
,11/18/2015,Apink,Sunday Morning,,,Youtube,Girl,Japanese
,11/17/2015,EXID,Hot Pink,핫핑크,Digipedi,Youtube,Girl,Major
,11/17/2015,JJCC,Insomnia,불면증,,Youtube,Boy,Major
,11/17/2015,Dynamic Duo,Jam,꿀잼,,Youtube,Boy,Major
,11/16/2015,B.I.G,Taola,타올라,Digipedi,Youtube,Boy,Major
,11/16/2015,Road Boyz,Poison Girl,독한 여자,,Youtube,Boy,Minor
,11/16/2015,Dynamic Duo,J.O.T.S,,,Youtube,Boy,Minor
,11/16/2015,The Legend,Nail,손톱,,Youtube,Boy,Major
,11/15/2015,Snuper,Shall We Dance,쉘 위 댄스,,Youtube,Boy,Major
,11/15/2015,B.A.P,"Young, Wild & Free",비에이피 - 영 와일드 앤 프리,ZANYBROS,Youtube,Boy,Major
,11/15/2015,iKON,Anthem,이리오너라,,Youtube,Boy,Major
,11/15/2015,iKON,Apology,지못미,Sa Minhan,Youtube,Boy,Major
,11/12/2015,UP10TION,Come as you are,그대로,,Youtube,Boy,Minor
,11/12/2015,MyB,DdoDdo,또또,,Youtube,Girl,Major
,11/11/2015,Dia Girls,Gently,스르륵,,Youtube,Girl,Major
,11/11/2015,D.Holic,Murphy & Sally,머피와 샐리,,Youtube,Girl,Major
,11/11/2015,Madtown,OMGT,오엠지티,,Youtube,Boy,Major
,11/10/2015,EXO,Lightsaber,라이트세이버,,Youtube,Boy,CF
,11/9/2015,Crayon Pop,Dancing All Night,댄싱 올 나잇,,Youtube,Girl,Japanese
,11/9/2015,Tahiti,Skip,스킵,,Youtube,Girl,Major
,11/9/2015,Wanna.B,Hands Up,손들어,,Youtube,Girl,Major
Post,11/9/2015,VIXX,Chained Up,사슬,Woogie Kim,Youtube,Boy,Major
,11/9/2015,MAP6,Storm,스톰,,Youtube,Boy,Major
,11/5/2015,Vetty L,Come Back Please,돌아와 제발,,Youtube,Girl,Major
,11/4/2015,Rania,Demonstrate,데몬스트레이트,,Youtube,Girl,Major
,11/4/2015,ROMEO,Target,타겟,,Youtube,Boy,Major
,11/4/2015,Davichi,Moment,이 순간,,Youtube,Girl,Minor
,11/4/2015,Brown Eyed Girls,Brave New World,신세계,FPK,Youtube,Girl,Major
,11/4/2015,Brown Eyed Girls,Warm Hole,웜홀,FPK,Youtube,Girl,Minor
,11/3/2015,Year 7 Class 1,Believe,,,Youtube,Girl,Major
,11/2/2015,Gavy NJ,Hello,헬로우,,Youtube,Girl,Major
,11/1/2015,VAV,Under The Moonlight,,,Youtube,Boy,Major
,11/1/2015,High4,D.O.A (Dead or Alive),데드 오어 얼라이브,,Youtube,Boy,Major
,10/27/2015,B1A4,Happy Days,,,Youtube,Boy,Japanese
,10/26/2015,f(x),4 Walls,포 월즈,,Youtube,Girl,Major
,10/25/2015,SHINee,Sing Your Song,,,Youtube,Boy,Japanese
,10/21/2015,N.Flying,Lonely,론리,,Youtube,Boy,Major
,10/19/2015,DIA,My Friend's Boyfriend,내 친구의 남자친구,,Youtube,Girl,Major
Post,10/19/2015,Twice,Like OOH-AHH,우아하게,Naive,Youtube,Girl,Major
,10/18/2015,Topp Dogg,The Beat,,,Youtube,Boy,Major
,10/15/2015,Uniq,Best Friend,,,Youtube,Boy,Minor
,10/13/2015,AOA,Oh Boy,보이,,Youtube,Girl,Japanese
,10/11/2015,BtoB,Way Back Home,집으로 가는 길,ZANYBROS,Youtube,Boy,Major
Post,10/7/2015,Oh My Girl,Closer,클로저,Sunny Visual,Youtube,Girl,Major
,10/7/2015,BIGFLO,Obliviate,오블리비아테,ZANYBROS,Youtube,Boy,Major
,10/6/2015,Taeyeon,I feat. Verbal Jint,아이,,Youtube,Girl Solo,Major
,10/6/2015,MelodyDay,Speed Up,스피드 업,,Youtube,Girl,Major
,10/1/2015,MONSTA X,Hero,히어로,Vikings League,Youtube,Boy,Major
,9/30/2015,Lovelyz,Ah-Choo,아츄,Digipedi,Youtube,Girl,Major
,9/30/2015,24K,Super Fly,날라리,,Youtube,Boy,Major
,9/30/2015,iKON,Rhythm Ta,리듬 타,,Youtube,Boy,Major
,9/30/2015,iKON,Airplane,에어플레인,,Youtube,Boy,Major
,9/30/2015,A-Daily,Spotlight,스포트라이트,,Youtube,Girl,Major
,9/28/2015,GOT7,If You Do,니가 하면,Naive,Youtube,Boy,Major
,9/24/2015,A.H.H.A,Hood On,훋 온,,Youtube,Girl,Major
,9/24/2015,Mamamoo,Girl Crush,걸크러쉬,,Youtube,Girl,OST
,9/23/2015,Cool,It's Alright,다 잘될 거야,,Youtube,Co-ed,Major
,9/22/2015,Berry Good,My First Love,내 첫사랑,,Youtube,Girl,Major
,9/18/2015,Nell,Star Shell,,,Youtube,Boy,Major
,9/17/2015,DIA,I Wanna Listen to Music,음악 들을래,,Youtube,Girl,Minor
,9/17/2015,DIA,Lean on Me (feat. Microdot),린온미,,Youtube,Girl,Minor
,9/17/2015,ZE:A,Continue,,,Youtube,Boy,Minor
,9/16/2015,Jonghyun,End of a Day,하루의 끝,,Youtube,Boy Solo,Minor
,9/15/2015,Super Junior,Magic,매직,,Youtube,Boy,Major
,9/14/2015,DIA,Somehow,왠지,,Youtube,Girl,Major
,9/14/2015,Fly To The Sky,It happens to be that way,그렇게 됐어,,Youtube,Boy,Major
,9/14/2015,Fly To The Sky,If I have to hate you,미워해야 한다면,,Youtube,Boy,Major
,9/14/2015,iKON,My Type,취향저격,Sa Minhan,Youtube,Boy,Major
,9/13/2015,CNBLUE,Cinderella,신데렐라,,Youtube,Boy,Major
,9/13/2015,Lovelyz,Shooting Star,작별하나,Digipedi,Youtube,Girl,Minor
,9/10/2015,UP10TION,"So, Dangerous",위험해,,Youtube,Boy,Major
,9/9/2015,Zest,Give Me A Chance,기회를줘,,Youtube,Boy,Major
,9/9/2015,SEVENTEEN,Mansae,만세,Im Seonggwan,Youtube,Boy,Major
,9/8/2015,Red Velvet,Dumb Dumb,덤덤,VM Project,Youtube,Girl,Major
,9/8/2015,Ladies' Code,Smile Even Though It Hurts,아파도 웃을래,,Youtube,Girl,Minor
,9/7/2015,CNBLUE,Supernova,,,Youtube,Boy,Japanese
,9/7/2015,5tion,Because of You,,,Youtube,Boy,Minor
,9/6/2015,DAY6,Congratulations,콩그레츄레이션,Naive,Youtube,Boy,Major
,9/6/2015,MONSTA X,Rush,신속히,,Youtube,Boy,Major
,9/4/2015,GOT7,Laugh Laugh Laugh,,,Youtube,Boy,Japanese
,9/3/2015,BIGSTAR,Full Moon Shine,달빛소나타,,Youtube,Boy,Major
,8/31/2015,ZE:A J,Kiminosobani ~Love to You~,君のそばに~Love to you~,,Youtube,Boy,Japanese
,8/27/2015,BEATWIN,Stalker,스토커,,Youtube,Boy,Major
,8/27/2015,Year 7 Class 1,Always (2015 ver.),,,Youtube,Girl,Major
,8/27/2015,VIXX,Can't Say,,,Youtube,Boy,Japanese
,8/26/2015,ALLSTAR,Sugar,슈가,,Youtube,Boy,Major
,8/25/2015,2EYES,Pippi,삐삐,LIKETHAT,Youtube,Girl,Major
,8/24/2015,"Mamamoo, Basick",Stand Up,,,Youtube,Girl,Minor
,8/24/2015,MyB,My Oh My,심장어택,,Youtube,Girl,Major
,8/23/2015,APRIL,Dream Candy,꿈사탕,Digipedi,Youtube,Girl,Major
,8/19/2015,JJCC,Where You At,어디야,,Youtube,Boy,Major
,8/19/2015,SG Wannabe,Love You,가슴 뛰도록,,Youtube,Boy,Major
,8/19/2015,SG Wannabe,Good Memory,좋은 기억,,Youtube,Boy,Major
,8/18/2015,Girls' Generation,You Think,유 싱크,Tiger Cave,Youtube,Girl,Major
,8/17/2015,Girls' Generation,Lion Heart,라이온 하트,ZANYBROS,Youtube,Girl,Major
,8/16/2015,FTISLAND,Puppy,,,Youtube,Boy,Japanese
,8/16/2015,Blady,Secret Number,비밀열쇠,,Youtube,Girl,Major
,8/16/2015,VIXX LR,Beautiful Liar,뷰티풀 라이어,,Youtube,Boy,Major
Post,8/9/2015,B1A4,Sweet Girl,스윗 걸,Sunny Visual,Youtube,Boy,Major
,8/9/2015,ZE:A J,Marry Me,,,Youtube,Boy,Chinese
,8/8/2015,BtoB,Summer Color My Girl,夏色 MY GIRL,,Youtube,Boy,Japanese
,8/6/2015,Baechigi,Shut Up,닥쳐줘요,,Youtube,Boy,Major
,8/4/2015,GD&T.O.P,Zutter,쩔어,,Youtube,Boy,Major
,8/4/2015,BIGBANG,Let's Not Fall In Love,우리 사랑하지 말아요,Han Samin,Youtube,Boy,Major
,8/3/2015,T-ara,So Crazy,완전 미쳤네,ZANYBROS,Youtube,Girl,Major
,8/3/2015,Apink,Petal,꽃잎점,,Youtube,Girl,Minor
Post,8/2/2015,SHINee,Married To The Music,메리드 투 더 뮤직,,Youtube,Boy,Major
,8/2/2015,The Legend,Shadow,,,Youtube,Boy,Major
,8/1/2015,Baby Boo,Boo Boo Boo,부부부,,Youtube,Girl,Major
,7/31/2015,Wonder Girls,I Feel You,아이필유,Lumpens,Youtube,Girl,Major
,7/30/2015,Dickpunks,Let's Play In The HanRiver,한강에서 놀아요,,Youtube,Boy,Major
,7/29/2015,Flashe,The Star Of Stars,별의별,,Youtube,Girl,Major
,7/29/2015,ZPZG,AOAO,,,Youtube,Boy,Major
,7/26/2015,Beast,YeY,예이,Tiger Cave,Youtube,Boy,Major
,7/21/2015,10X10,AMOMIA,아모미아,,Youtube,Girl,Major
,7/21/2015,Hello Venus,I'm Ill,난 예술이야,,Youtube,Girl,Major
,7/20/2015,Wanna.B,Attention,전체 차렷,,Youtube,Girl,Major
,7/19/2015,Beast,Gotta Go To Work,일하러 가야 돼,Tiger Cave,Youtube,Boy,Minor
,7/19/2015,Stellar,Vibrato,떨려요,Digipedi,Youtube,Girl,Major
,7/19/2015,Sonamoo,Cushion,쿠션,ZANYBROS,Youtube,Girl,Major
,7/17/2015,Awesome Baby,Why me?,내가 왜?,,Youtube,Girl,Major
,7/15/2015,Super Junior,Devil,데빌,,Youtube,Boy,Major
,7/15/2015,N*White,Paradise,천국,,Youtube,Girl,Major
,7/13/2015,Infinite,Bad,배드,Digipedi,Youtube,Boy,Major
,7/12/2015,GOT7,Just Right,딱 좋아,Naive,Youtube,Boy,Major
,7/7/2015,D.Holic,Chewy,쫄깃쫄깃,,Youtube,Girl,Major
,7/7/2015,Take,Rainy Day,주르르,,Youtube,Boy,Major
,7/5/2015,LoveUs,Tickle,티클,,Youtube,Girl,Major
,7/3/2015,A.cian,Just Leave,그냥 떠나가,,Youtube,Boy,Minor
,7/2/2015,4Ten,Go Easy,살살해,,Youtube,Girl,Major
,7/1/2015,Minx,Love Shake,러브 쉐이크,,Youtube,Girl,Major
,7/1/2015,9MUSES,Hurt Locker,다쳐,ZANYBROS,Youtube,Girl,Major
,7/1/2015,Hotshot,I'm A Hotshot,아임 어 핫샷,,Youtube,Boy,Major
,6/30/2015,BIGBANG,Sober,맨정신,Han Samin,Youtube,Boy,Major
,6/30/2015,Myname,Hello Again,,,Youtube,Boy,Japanese
,6/29/2015,Crayon Pop,Rarirure,라리루레,,Youtube,Girl,Japanese
,6/28/2015,BtoB,It's OK,괜찮아요,ZANYBROS,Youtube,Boy,Major
,6/24/2015,Playback,Playback,플레이백,,Youtube,Girl,Major
,6/23/2015,4Men,Blanket Kick,이불킥,,Youtube,Boy,Major
,6/22/2015,GFRIEND,Me Gustas Tu,오늘부터 우리는,ZANYBROS,Youtube,Girl,Major
,6/21/2015,AOA,Heart Attack,심쿵해,,Youtube,Girl,Major
,6/21/2015,Teen Top,ah-ah,아침부터 아침까지,,Youtube,Boy,Major
,6/21/2015,SISTAR,Shake It,쉐이크 잇,,Youtube,Girl,Major
,6/19/2015,Asha,Mr. Liar,미스터라이어,,Youtube,Girl,Major
Post,6/18/2015,Mamamoo,Um Oh Ah Yeh,음오아예,,Youtube,Girl,Major
,6/15/2015,Apink,Remember,리멤버,ZANYBROS,Youtube,Girl,Major
,6/15/2015,Song Jieun,Cool Night (with Sleepy),쿨밤,,Youtube,Girl Solo,Minor
Post,6/14/2015,2PM,My House,우리집,Naive,Youtube,Boy,Major
,6/12/2015,December,Reason,,,Youtube,Boy,Major
,6/10/2015,Tritops,Sorry That I'm Ugly,못생겨서 미안해,,Youtube,Boy,Major
,6/10/2015,TimeZ,Awaken,,,Youtube,Boy,Major
,6/8/2015,MBLAQ,Mirror,거울,,Youtube,Boy,Major
,6/8/2015,MelodyDay,#LoveMe,러브미,,Youtube,Girl,Major
,6/7/2015,Girls' Generation,Party,파티,ZANYBROS,Youtube,Girl,Major
,6/4/2015,A.KOR BLACK,How We Do,하우 위 두,,Youtube,Girl,Major
,6/4/2015,BIGBANG,We Like 2 Party,위라이크투파티,Han Samin,Youtube,Boy,Major
,6/3/2015,Boys Republic,Hello,헬로우,ZANYBROS,Youtube,Boy,Major
,6/3/2015,High4,Baby Boy,베이비 보이,,Youtube,Boy,Major
,6/2/2015,EXO,Love Me Right,러브 미 라잇,VM Project,Youtube,Boy,Major
,6/2/2015,HALO,While You're Sleeping,니가 잠든 사이에,,Youtube,Boy,Major
,6/1/2015,BIGBANG,Bang Bang Bang,뱅뱅뱅,Seo Hyunseung,Youtube,Boy,Major
,6/1/2015,Year 7 Class 1,White Wind,하얀바람,,Youtube,Girl,Major
,6/1/2015,4Men,You’re My Home,넌 나의 집,,Youtube,Boy,Major
,5/31/2015,Speed,What U,왓 유,,Youtube,Boy,Major
,5/30/2015,EXO,Call Me Baby,콜미 베이비,VM Project,Youtube,Boy,Major
Post,5/29/2015,SEVENTEEN,Adore U,아낀다,Dee Shin,Youtube,Boy,Major
,5/29/2015,miss A,Only You,다른 남자 말고 너,Naive,Youtube,Girl,Major
,5/28/2015,Urban Zakapa,212,둘 하나 둘,,Youtube,Co-ed,Major
Post,5/27/2015,CLC,Like,궁금해,ZANYBROS,Youtube,Girl,Major
,5/27/2015,2000won,GOODBAM,굿밤,,Youtube,Boy,Major
,5/26/2015,JJY Band,OMG,,,Youtube,Boy,Major
,5/25/2015,KARA,Cupid,큐피드,,Youtube,Girl,Major
,5/23/2015,BTS,DOPE,쩔어,Woogie Kim,Youtube,Boy,Major
,5/22/2015,Urban Zakapa,Get,,,Youtube,Co-ed,Major
,5/22/2015,Boyfriend,Glider,,,Youtube,Boy,Japanese
,5/21/2015,Uniq,Luv Again,,,Youtube,Boy,Major
,5/20/2015,A6P,Face Off,페이스오프,,Youtube,Boy,Major
,5/20/2015,HISTORY,Might Just Die,죽어버릴지도 몰라,,Youtube,Boy,Major
,5/19/2015,N.Flying,Awesome,기가 막혀,,Youtube,Boy,Major
Post,5/18/2015,SHINee,View,뷰,,Youtube,Boy,Major
,5/18/2015,GOT7,Love Train,,,Youtube,Boy,Japanese
Post,5/13/2015,MONSTA X,Trespass,무단침입,,Youtube,Boy,Major
,5/12/2015,Myname,Just Tell Me,딱 말해,,Youtube,Boy,Major
,5/12/2015,Take,Tonight,,,Youtube,Boy,Major
,5/11/2015,Girl's Day,Hello Bubble,헬로버블,,Youtube,Girl,Minor
,5/10/2015,Jun Hyoseong,Into You,반해,ZANYBROS,Youtube,Girl Solo,Major
,5/7/2015,BESTie,Excuse Me,익스큐즈미,ZANYBROS,Youtube,Girl,Major
,5/6/2015,ROMEO,Lovesick,예쁘니까,,Youtube,Boy,Major
,5/3/2015,TXT,Cat & Dog (English ver.),,,Youtube,Boy,English
,5/2/2015,Lovelyz,Hi~,안녕,Digipedi,Youtube,Girl,Major
,4/30/2015,BIGBANG,Loser,루저,Han Samin,Youtube,Boy,Major
,4/30/2015,BIGBANG,Bae Bae,배배,Seo Hyunseung,Youtube,Boy,Major
,4/29/2015,BTS,I NEED U,아이 니드 유,Lumpens,Youtube,Boy,Major
,4/29/2015,Cupid,I Feel Good,아이필굿,,Youtube,Girl,Major
,4/28/2015,Infinite,24 Hours,24時間,,Youtube,Boy,Japanese
,4/26/2015,A.cian,Driving,드라이빙,,Youtube,Boy,Major
,4/23/2015,Uniq,EOEO,,,Youtube,Boy,Major
,4/23/2015,Mr.Mr,Out,아웃,,Youtube,Boy,Major
,4/23/2015,Hotshot,Watch Out,워치아웃,,Youtube,Boy,Minor
,4/19/2015,Oh My Girl,Cupid,오마이걸,ZANYBROS,Youtube,Girl,Major
,4/19/2015,Gavy NJ,Ju Ju Ju,친구가 널봤대,,Youtube,Girl,Major
,4/18/2015,Apink,Promise U,새끼손가락,,Youtube,Girl,Minor
,4/17/2015,FTISLAND,Primavera,,,Youtube,Boy,Japanese
,4/16/2015,NU'EST,NA.NA.NA.Tears,NA.NA.NA.涙,,Youtube,Boy,Japanese
,4/15/2015,Tritops,Missing You Missing You Missing You,보고싶다 보고싶다 보고싶다,,Youtube,Boy,Major
,4/14/2015,Dal Shabet,Joker,조커,,Youtube,Girl,Major
,4/14/2015,Jinusean,Tell Me One More Time,한번 더 말해줘,,Youtube,Boy,Major
,4/13/2015,Infinite H,Crazy feat. Sanchez,니가 미치지 않고서야,,Youtube,Boy,Minor
,4/13/2015,M&D,I Wish,하고 싶어,,Youtube,Boy,Major
,4/13/2015,Bastarz,Zero For Conduct,품행제로,,Youtube,Boy,Major
,4/12/2015,EXID,Ah Yeah,아예,Naive,Youtube,Girl,Major
,4/12/2015,24K,Hey You,오늘 예쁘네,,Youtube,Boy,Major
,4/12/2015,CROSS GENE,Play With Me,나하고 놀자,,Youtube,Boy,Major
,4/11/2015,J.Y. Park,Who's your mama? feat. Jessi,어머님이 누구니,Naive,Youtube,Boy Solo,Major
,4/10/2015,Daybreak,Beautiful People,빛나는 사람,,Youtube,Boy,Major
,4/9/2015,Girls' Generation,Catch Me If You Can,캐치미 이프유캔,Toshiyuki Suzuki,Youtube,Girl,Minor
,4/8/2015,JJCC,On the Flower Bed,꽃밭에서,,Youtube,Boy,Major
,4/3/2015,Take,One Spring Day,어느 봄날에,,Youtube,Boy,Major
Post,4/1/2015,Mamamoo,Ahh Oop (with eSNa),아훕!,Digipedi,Youtube,Girl,Minor
,3/31/2015,Super Junior-D&E,CHOK CHOK DANCE (Everybody's CHOK CHOK DANCE),촉이 와,,Youtube,Boy,
,3/30/2015,Blady,Come To Me,다가와,,Youtube,Girl,Major
,3/26/2015,Crayon Pop,FM,에프엠,,Youtube,Girl,Major
Post,3/25/2015,LABOUM,Sugar Sugar,슈가슈가,,Youtube,Girl,Major
,3/25/2015,Sonamoo,Just Go,가는거야,,Youtube,Girl,Minor
,3/24/2015,Hotshot,Midnight Sun,,,Youtube,Boy,Minor
,3/23/2015,N-Sonic,Black Out,블랙아웃,,Youtube,Boy,Major
